corpus_row,google_volume_id,title,subtitle,author,isbn_13,canonical_isbn_13,description,publisher,publication_year,categories,language,cover_url,quality_tier,relevance_tier,keep_source,duplicate_group,collapsed_count
158,GoZFNGeHktAC,Building Winning Trading Systems with TradeStation,,"George Pruitt, John R. Hill",9780471215691,9780471215691,"Praise for BUILDING WINNING TRADING SYSTEMS with TradeStation (TM) ""This book will prove vital to all systematic traders. Pruitt and Hill share a wealth of innovative timing patterns and fully disclosed trading strategies. For TradeStation(TM) users, there are powerful tutorials on indicator design and system building. The authors' vast expertise will benefit even practiced TradeStation(TM) veterans."" -Nelson Freeburg Editor, Formula Research ""TradeStation(TM) systems traders will discover a virtual gold mine of knowledge, guidance, and the benefit of vicarious experience from the two foremost experts on the subject in this valuable new addition to trading systems literature. There has long been a notable lack of worthwhile reference material for TradeStation(TM) users, and Building Winning Trading Systems with TradeStation(TM) fills a large void in this area."" -Edward Dobson President, Traders Press, Inc. ""Building Winning Trading Systems with TradeStation(TM) is filled with useful information and practical real-world examples. I believe TradeStation 6(TM) users will find it a valuable resource."" -Bill Cruz Co-CEO, TradeStation(TM) Group, Inc.",Wiley,2002,Business & Economics,en,https://books.google.com/books/content?id=GoZFNGeHktAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,metadata_keep_b,154,1
161,_TxWa7OQNOEC,Mastering Trade Selection and Management: Advanced Strategies for Long-Term Profitability,,"Jay Norris, Al Gaskill",9780071760119,9780071760119,"Proven Trading Techniques for Lowering Risk and Increasing Profits In Mastering Trade Selection and Management, market strategist Jay Norris provides proven strategies for generating profits on a consistent basis—under all economic conditions. The secret lies not in predicting the market but rather in carefully managing your trade from beginning to end. Norris gives you step-by-step instructions for selecting a market to trade, and determining which direction to trade the market, what to look for prior to trading, and when to enter and exit a trade. Mastering Trade Selection and Management takes the guesswork out of trading by showing you how to: Measure the effects employment, government interest-rate policy, and consumer confidence have on a market Determine what levels need to be breached to signal a change of trend Implement a monitoring system to gauge when the current trend is holding or changing Analyze markets down to an intraday level to identify historical support and resistance levels Avoid emotional pitfalls that might lead you to make poor decisions—such as exiting a trade too early or failing to pull the trigger on a trade signal Norris’s simple five-step system for trading will make you a more consistent and profitable trader. Using the wealth of graphs, charts, and trading examples inside, you can research, set up, and test your trades in order to fine-tune them for the real world. You risk no money and qualify yourself to make more trades that are lucrative. From planning to execution to exit, the blueprints to the fine art of trading are now in your hands with Mastering Trade Selection and Management.",McGraw Hill Professional,2011,Business & Economics,en,https://books.google.com/books/content?id=_TxWa7OQNOEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,157,1
162,dTmr94EhEoUC,Tradings Systems That Work: Building and Evaluating Effective Trading Systems,,Thomas Stridsman,9780071359801,9780071359801,"Trading Systems That Work evaluates many of today's most influential techniques and, emphasizing trading software programs TradeStation and Excel, covers all aspects of researching, building, understanding, and evaluating your own trading system."".",McGraw Hill Professional,2001,Business & Economics,en,https://books.google.com/books/content?id=dTmr94EhEoUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,metadata_keep_b,158,1
168,enB5DwAAQBAJ,Trend Trading for a Living (PB),,Thomas K. Carr,9781260440706,9781260440706,"The new edition of a bestseller! “Dr. Stoxx” delivers proven new methods for drawing consistent gains in today’s unpredictable markets Trend Trading for a Living has put thousands of people on a new career path—trading for a living. Now ""Dr. Stoxx"" has updated his popular guide for the new world of trading, providing everything you need to know for drawing consistent gains in today's unpredictable markets.Providing all the foundational content that made the first edition an instant classic, this new volume offers updates of every trading system, along with an all-new fundamentals-based approach and in-depth analyses of historical performance. It also includes a brand-new system: the Mean Reversion Setup, one of the most exciting and fastest moving of all trading systems. Dr. Stoxx takes you through all the steps to successful trading, from setting up a multi-monitor trading computer and reading stock charts like a pro to finding, trading, and managing your positions. With Dr. Carr’s book in hand, you’ll have everything you need to succeed in the stock market. Whether you’re looking to supplement your income or get rich by trading full-time, Trend Trading for a Living delivers the knowledge and insight you need to pick the best opportunities, know when to get in, and, when it comes time to sell, take action with the confidence of a veteran trader.",McGraw Hill Professional,2018,Business & Economics,en,https://books.google.com/books/content?id=enB5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,163,1
169,vmsKEqZkFBYC,Managing a Hedge Fund,"A Complete Guide to Trading, Business Strategies, Risk Management, and Regulations",Keith H. Black,9780071434812,9780071434812,"Hedge funds now account for 25 percent of all NYSE trading volume and are one of the fastest growing sectors in today’s financial industry. Managing a Hedge Fund examines every significant issue facing a hedge fund manager, from management of numerous types of risk to due diligence requirements, use of arbitrage and other exotic activities, and more. Broad-based where most hedge fund books are narrowly focused, it provides current and potential managers with a concise but comprehensive treatment on managing—and maximizing—a hedge fund in today’s fiercely competitive investing arena.",McGraw Hill Professional,2004,Business & Economics,en,https://books.google.com/books/content?id=vmsKEqZkFBYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,metadata_keep_b,164,1
171,FlR3oYhlwb4C,Momentum Stock Selection: Using The Momentum Method For Maximum Profits,,Jake Bernstein,9780071394154,9780071394154,"Proven techniques to improve market-timing accuracy Written by internationally recognized trader, author, and researcher Jake Bernstein, Momentum Stock Selection details a method of combining market momentum with innovative risk management to dramatically increase profitable opportunities for both short- and long-term traders. After briefly defining market timing and market momentum, Bernstein heads directly to the heart of the bookhow any trader can use momentum to increase trading effectiveness. Employing numerous real-life examples and illustrations to explain key points, he gives the reader inside details on: How to choose the right time period for charting Red flags that point out when a signal is wrong A five-step method for determining momentum-divergence patterns An actual ""walk-through"" of a momentum-divergence signal as it develops",McGraw Hill Professional,2001,Business & Economics,en,https://books.google.com/books/content?id=FlR3oYhlwb4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,metadata_keep_b,166,1
172,Lh7YHl9yiAYC,Building Reliable Trading Systems,Tradable Strategies That Perform As They Backtest and Meet Your Risk-Reward Goals,Keith Fitschen,9781118635612,9781118635612,"An award winning system developer explains how to create, test, and implement a profitable trading system Traders have long been drawn to the idea of translating their strategies and ideas into trading systems. While successful trading systems have been developed, in most cases, they work very well for a period of time in specific markets, but perform less well across all markets in all time frames. Nobody understands this better than author Keith Fitschen—a thought-leader in trading system development—and now, with Trading Strategy Generation + Website, he shares his extensive experience in this field with you. Trading Strategy Generation skillfully explains how to take market insights or trading ideas and develop them into a robust trading system. In it, Fitschen describes the critical steps a trader needs to follow, including: translating the market insight into a rules-based approach; determining entry and exit points; testing against historical data; and integrating money management and position sizing into the system. Written by an award winning system developer who has actively traded his systems for thirty years Introduces new ideas on money management and position sizing for different markets Details exactly what it takes to build, test, and implement a profitable technical trading system A companion Website contains supplementary material, including Excel spreadsheets designed to rate the strength of entry signals and provide money management guidance based on market volatility and portfolio correlations Written with the serious trader in mind, Trading Strategy Generation is an accessible guide to building a system that will generate realistic returns over time.",John Wiley & Sons,2013,Business & Economics,en,https://books.google.com/books/content?id=Lh7YHl9yiAYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,167,1
175,ZHW7DwAAQBAJ,Applications of Computational Intelligence in Data-Driven Trading,,Cris Doloc,9781119550525,9781119550525,"“Life on earth is filled with many mysteries, but perhaps the most challenging of these is the nature of Intelligence.” – Prof. Terrence J. Sejnowski, Computational Neurobiologist The main objective of this book is to create awareness about both the promises and the formidable challenges that the era of Data-Driven Decision-Making and Machine Learning are confronted with, and especially about how these new developments may influence the future of the financial industry. The subject of Financial Machine Learning has attracted a lot of interest recently, specifically because it represents one of the most challenging problem spaces for the applicability of Machine Learning. The author has used a novel approach to introduce the reader to this topic: The first half of the book is a readable and coherent introduction to two modern topics that are not generally considered together: the data-driven paradigm and Computational Intelligence. The second half of the book illustrates a set of Case Studies that are contemporarily relevant to quantitative trading practitioners who are dealing with problems such as trade execution optimization, price dynamics forecast, portfolio management, market making, derivatives valuation, risk, and compliance. The main purpose of this book is pedagogical in nature, and it is specifically aimed at defining an adequate level of engineering and scientific clarity when it comes to the usage of the term “Artificial Intelligence,” especially as it relates to the financial industry. The message conveyed by this book is one of confidence in the possibilities offered by this new era of Data-Intensive Computation. This message is not grounded on the current hype surrounding the latest technologies, but on a deep analysis of their effectiveness and also on the author’s two decades of professional experience as a technologist, quant and academic.",John Wiley & Sons,2019,Business & Economics,en,https://books.google.com/books/content?id=ZHW7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,170,1
176,Yr0aZdSQA2kC,Managing Investment Portfolios,A Dynamic Process,"John L. Maginn, Donald L. Tuttle, Dennis W. McLeavey, Jerald E. Pinto",9780470080146,9780470080146,"""A rare blend of a well-organized, comprehensive guide to portfolio management and a deep, cutting-edge treatment of the key topics by distinguished authors who have all practiced what they preach. The subtitle, A Dynamic Process, points to the fresh, modern ideas that sparkle throughout this new edition. Just reading Peter Bernstein's thoughtful Foreword can move you forward in your thinking about this critical subject."" —Martin L. Leibowitz, Morgan Stanley ""Managing Investment Portfolios remains the definitive volume in explaining investment management as a process, providing organization and structure to a complex, multipart set of concepts and procedures. Anyone involved in the management of portfolios will benefit from a careful reading of this new edition."" —Charles P. Jones, CFA, Edwin Gill Professor of Finance, College of Management, North Carolina State University",John Wiley & Sons,2007,Business & Economics,en,https://books.google.com/books/content?id=Yr0aZdSQA2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,metadata_keep_a,102,2
177,kR1wAAAAQBAJ,Market Microstructure in Emerging and Developed Markets,"Price Discovery, Information Flows, and Transaction Costs","H. Kent Baker, Halil Kiymaz",9781118421482,9781118421482,"A comprehensive guide to the dynamic area of finance known as market microstructure Interest in market microstructure has grown dramatically in recent years due largely in part to the rapid transformation of the financial market environment by technology, regulation, and globalization. Looking at market transactions at the most granular level—and taking into account market structure, price discovery, information flows, transaction costs, and the trading process—market microstructure also forms the basis of high-frequency trading strategies that can help professional investors generate profits and/or execute optimal transactions. Part of the Robert W. Kolb Series in Finance, Market Microstructure skillfully puts this discipline in perspective and examines how the working processes of markets impact transaction costs, prices, quotes, volume, and trading behavior. Along the way, it offers valuable insights on how specific features of the trading process like the existence of intermediaries or the environment in which trading takes place affect the price formation process. Explore issues including market structure and design, transaction costs, information flows, and disclosure Addresses market microstructure in emerging markets Covers the legal and regulatory issues impacting this area of finance Contains contributions from both experienced financial professionals and respected academics in this field If you're looking to gain a firm understanding of market microstructure, this book is the best place to start.",John Wiley & Sons,2013,Business & Economics,en,https://books.google.com/books/content?id=kR1wAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,171,1
178,jyv8EAAAQBAJ,C++ High Performance for Financial Systems,Build efficient and optimized financial systems by leveraging the power of C++,Ariel Silahian,9781805120971,9781805120971,"An in-depth guide covering system architecture, low-latency strategies, risk management, and machine learning for experienced programmers looking to enter the financial industry and build high-performance trading systems Key Features Get started with building financial trading systems Focus on scalability, architecture, and implementing low-latency network communication in C++ Optimize code and use parallel computing techniques for better performance Purchase of the print or Kindle book includes a free PDF eBook Book DescriptionUnlock the secrets of the finance industry and dive into the world of high-performance trading systems with C++ High Performance for Financial Systems. Trading systems are the backbone of the financial world, and understanding how to build them for optimal performance is crucial for success. If you've ever dreamt of creating scalable and cutting-edge financial software, this guide is your key to success. A cornerstone of this book is its coverage of system design and architecture. The book starts by outlining the role of C++ in finance and trading. You'll learn the principles and methodologies behind building systems that can handle vast amounts of data, execute complex trading strategies with ease, and maintain the highest levels of reliability. Armed with this knowledge, you'll be equipped to tackle even the most challenging trading scenarios. In the fast-paced world of finance, every millisecond counts. This book delves into low-latency strategies that will enable your trading systems to react with lightning speed. You’ll also learn the art of reducing latency, optimizing code, and leveraging the latest hardware and software techniques to gain a competitive edge in the market. By the end of this book, you’ll be well-versed in architecting a financial trading system as well as advanced strategies and new industry trends.What you will learn Design architecture for scalable financial trading systems Understand strategies for low-latency trading and high-frequency trading Discover how to implement machine learning algorithms for financial data analysis Understand risk management techniques for financial trading systems Explore advanced topics in finance and trading, including machine learning for algorithmic trading and portfolio optimization Get up to speed with best practices for developing financial trading systems with C++ Who this book is for This book is for experienced C++ developers who want to enter the finance industry and learn how trading systems work. It is also suitable for quantitative analysts, financial engineers, and anyone interested in building scalable and robust trading systems. The book assumes familiarity with the C++ programming language, data structures, and algorithms. Additionally, readers should have a basic understanding of finance and trading concepts, such as market data, trading strategies, and risk management.",Packt Publishing Ltd,2024,Computers,en,https://books.google.com/books/content?id=jyv8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,medium,metadata_keep_b,172,1
181,6l0DDQAAQBAJ,High-Frequency Trading,A Practical Guide to Algorithmic Strategies and Trading Systems,Irene Aldridge,9781118343500,9781118343500,"A fully revised second edition of the best guide to high-frequency trading High-frequency trading is a difficult, but profitable, endeavor that can generate stable profits in various market conditions. But solid footing in both the theory and practice of this discipline are essential to success. Whether you're an institutional investor seeking a better understanding of high-frequency operations or an individual investor looking for a new way to trade, this book has what you need to make the most of your time in today's dynamic markets. Building on the success of the original edition, the Second Edition of High-Frequency Trading incorporates the latest research and questions that have come to light since the publication of the first edition. It skillfully covers everything from new portfolio management techniques for high-frequency trading and the latest technological developments enabling HFT to updated risk management strategies and how to safeguard information and order flow in both dark and light markets. Includes numerous quantitative trading strategies and tools for building a high-frequency trading system Address the most essential aspects of high-frequency trading, from formulation of ideas to performance evaluation The book also includes a companion Website where selected sample trading strategies can be downloaded and tested Written by respected industry expert Irene Aldridge While interest in high-frequency trading continues to grow, little has been published to help investors understand and implement this approach—until now. This book has everything you need to gain a firm grip on how high-frequency trading works and what it takes to apply it to your everyday trading endeavors.",John Wiley & Sons,2013,Business & Economics,en,https://books.google.com/books/content?id=6l0DDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,metadata_keep_a,175,1
182,RR2m9vsSqboC,Market Microstructure,Confronting Many Viewpoints,"Frédéric Abergel, Jean-Philippe Bouchaud, Thierry Foucault, Charles-Albert Lehalle, Mathieu Rosenbaum",9781119952787,9781119952787,"The latest cutting-edge research on market microstructure Based on the December 2010 conference on market microstructure, organized with the help of the Institut Louis Bachelier, this guide brings together the leading thinkers to discuss this important field of modern finance. It provides readers with vital insight on the origin of the well-known anomalous ""stylized facts"" in financial prices series, namely heavy tails, volatility, and clustering, and illustrates their impact on the organization of markets, execution costs, price impact, organization liquidity in electronic markets, and other issues raised by high-frequency trading. World-class contributors cover topics including analysis of high-frequency data, statistics of high-frequency data, market impact, and optimal trading. This is a must-have guide for practitioners and academics in quantitative finance.",John Wiley & Sons,2012,Business & Economics,en,https://books.google.com/books/content?id=RR2m9vsSqboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,176,1
184,RzOIDwAAQBAJ,Lecture Notes In Market Microstructure And Trading,,Peter Joakim Westerholm,9789813234116,9789813234116,"This book, written by Joakim Westerholm, Professor of Finance and former trading professional, is intended to be used as basis for developing courses in Securities markets, Trading, and Market microstructure and connects theoretic rigor with practical real world applications.Market technology evolves, the roles of market participants change, and whole market segments disappear to be replaced by new ways to exchange securities. Yet, the same underlying economic principles continue to drive trading in securities markets. Thus, the scope of the book is global, providing a framework that is relevant both for current market designs and for future markets we will see develop. It is designed to stay relevant in a rapidly evolving field.The book contains a selection of lecture notes through which students will gain an in-depth understanding of the mechanism that drives trading in securities markets. The book also contains another set of lecture notes with more advanced, research-based material, suitable for Honours or Master level research students, or for PhD candidates. The material is self-explanatory and can also be used for self-study, preferably in conjunction with assigned readings.",World Scientific,2018,Business & Economics,en,https://books.google.com/books/content?id=RzOIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,178,1
186,S_0GEQAAQBAJ,Financial Statement Analysis for Value Investing,,"Stephen Penman, Peter F. Pope",9780231560924,9780231560924,"How should an investor challenge the market price and find value? This book provides a new lens, arguing that value investing is a matter of understanding the business through accounting. Stephen Penman and Peter F. Pope—leading authorities on accounting and its investment applications—demonstrate why attention to financial statements is the key to judicious valuation. More broadly, they show that accounting fundamentals, when analyzed in a systematic manner, teach us how to think about value in new ways. This guide to investing through analysis of financial statements presents both underlying principles and practical examples. It examines how an accounting book is structured, the ways to read one in order to extract information about value, and why accounting techniques help investors avoid common traps. Through cases that depict finance, investing, and accounting principles in action, readers learn crucial lessons for challenging the market’s pricing. Financial Statement Analysis for Value Investing is essential reading for anyone interested in the fundamentals of value investing, practitioners and students alike. Both professional and individual investors can benefit from its techniques and insights, and it is well suited for value investing and financial statement analysis courses in business schools.",Columbia University Press,2025,Business & Economics,en,https://books.google.com/books/content?id=S_0GEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,metadata_keep_a,180,1
189,IlizCgAAQBAJ,Quantitative Investment Analysis,,"Richard A. DeFusco, Dennis W. McLeavey, Jerald E. Pinto, David E. Runkle, Mark J. P. Anson",9781119104599,9781119104599,"Your complete guide to quantitative analysis in the investment industry Quantitative Investment Analysis, Third Edition is a newly revised and updated text that presents you with a blend of theory and practice materials to guide you through the use of statistics within the context of finance and investment. With equal focus on theoretical concepts and their practical applications, this approachable resource offers features, such as learning outcome statements, that are targeted at helping you understand, retain, and apply the information you have learned. Throughout the text's chapters, you explore a wide range of topics, such as the time value of money, discounted cash flow applications, common probability distributions, sampling and estimation, hypothesis testing, and correlation and regression. Applying quantitative analysis to the investment process is an important task for investment pros and students. A reference that provides even subject matter treatment, consistent mathematical notation, and continuity in topic coverage will make the learning process easier—and will bolster your success. Explore the materials you need to apply quantitative analysis to finance and investment data—even if you have no previous knowledge of this subject area Access updated content that offers insight into the latest topics relevant to the field Consider a wide range of subject areas within the text, including chapters on multiple regression, issues in regression analysis, time-series analysis, and portfolio concepts Leverage supplemental materials, including the companion Workbook and Instructor's Manual, sold separately Quantitative Investment Analysis, Third Edition is a fundamental resource that covers the wide range of quantitative methods you need to know in order to apply quantitative analysis to the investment process.",John Wiley & Sons,2015,Business & Economics,en,https://books.google.com/books/content?id=IlizCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,metadata_keep_a,183,1
191,UUeaAAAAQBAJ,Financial Statement Analysis,A Practitioner's Guide,"Martin S. Fridson, Fernando Alvarez",9780470635605,9780470635605,"The updated, real-world guide to interpreting and unpacking GAAP and non-GAAP financial statements In Financial Statement Analysis, 5th Edition, leading investment authority Martin Fridson returns with Fernando Alvarez to provide the analytical framework you need to scrutinize financial statements, whether you’re evaluating a company’s stock price or determining valuations for a merger or acquisition. Rather than taking financial statements at face value, you’ll learn practical and straightforward analytical techniques for uncovering the reality behind the numbers. This fully revised and up-to-date 5th Edition offers fresh information that will help you to evaluate financial statements in today’s volatile markets and uncertain economy. The declining connection between GAAP earnings and stock prices has introduced a need to discriminate between instructive and misleading non-GAAP alternatives. This book integrates the alternatives and provides guidance on understanding the extent to which non-GAAP reports, particularly from US companies, may be biased. Understanding financial statements is an essential skill for business professionals and investors. Most books on the subject proceed from the questionable premise that companies' objective is to present a true picture of their financial condition. A safer assumption is that they seek to minimize the cost of raising capital by portraying themselves in the most favorable light possible. Financial Statement Analysis teaches readers the tricks that companies use to mislead, so readers can more clearly interpret statements. Learn how to read and understand financial statements prepared according to GAAP and non-GAAP standards Compare CFROI, EVA, Valens, and other non-GAAP methodologies to determine how accurate companies’ reports are Improve your business decision making, stock valuations, or merger and acquisition strategy Develop the essential skill of quickly and accurately gathering and assessing information from financial statements of all types Professional analysts, investors, and students will gain valuable knowledge from this updated edition of the popular guide. Filled with real-life examples and expert advice, Financial Statement Analysis, 5th Edition, will help you interpret and unpack financial statements.",John Wiley & Sons,2011,Business & Economics,en,https://books.google.com/books/content?id=UUeaAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,metadata_keep_a,184,2
193,w5JR5o6QGI4C,Financial Reporting and Analysis,,Lawrence Revsine,9780130397935,9780130397935,,Pearson Prentice Hall,2003,Business & Economics,en,https://books.google.com/books/content?id=w5JR5o6QGI4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,medium,metadata_keep_b,186,1
194,8cAiAwAAQBAJ,Asian Financial Statement Analysis,Detecting Financial Irregularities,"ChinHwee Tan, Thomas R. Robinson",9781118486528,9781118486528,"Gain a deeper understanding of Asian financial reporting and how to detect irregularities The Asian region, and particularly China, is becoming a hotbed of investment activity. There have been quite a few accounting scandals in Asia in the recent years – now rivaling those we have seen in the Americas and Europe. Assessing potential or active overseas investments requires reliance on financial statements, the full parameters of which may vary from region to region. To effectively analyze statements, it is necessary to first understand the framework underlying these financial statements and then lay out a protocol for detecting irregularities. It's impossible to create and implement a practical plan without a deeper knowledge of the various factors at play. Asian Statement Analysis: Detecting Financial Irregularities provides a framework for analysis that makes irregularities stand out. Authors Chin Hwee Tan and Thomas R. Robinson discuss international financial reporting standards, including characteristics particular to the Asian region. Tan and Robinson's combined background in academia and Asian finance give them a multi-modal perspective and position them as top authorities on the topic. In the book, they address issues such as: Detection of irregularities independent of particular accounting rules The most common irregularities in the Asian market Similarities and differences between U.S. and Asian accounting techniques An overarching framework for irregularity detection The book uses real-world examples to illustrate the concepts presented, with the focus on Asian companies. As the first ever in-depth study on manipulation and irregularities in the Asian market, Asian Financial Statement Analysis: Detecting Financial Irregularities is uniquely positioned to be a valuable resource in the move toward the next phase of global reporting standards.",John Wiley & Sons,2014,Business & Economics,en,https://books.google.com/books/content?id=8cAiAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,187,1
196,hWXHTSkKsVEC,International Financial Statement Analysis,,"Thomas R. Robinson, Hennie van Greuning, CFA, Elaine Henry, Michael A. Broihahn",9780470395967,9780470395967,"Written with both the established and aspiring financial professional in mind, this book will help you understand the mechanics of the accounting process, which is the foundation for financial reporting; comprehend the differences and similarities in income statements, balance sheets, and cash flow statements around the globe; and assess the implications for securities valuation of any financial statement element or transaction. Along the way, you'll also discover how different financial analysis techniques—such as ratio analysis and common-size financial statements—can provide valuable clues into a company's operations and risk characteristics.",Wiley,2008,Business & Economics,en,https://books.google.com/books/content?id=hWXHTSkKsVEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_A,high,metadata_keep_a,185,2
197,7_krPwAACAAJ,Financial Statement Analysis and Security Valuation,,Stephen Penman,9780073379661,9780073379661,"This book describes valuation as an exercise in financial statement analysis. Students learn to view a firm through its financial statements and to carry out the appropriate financial statement analysis to value the firm’s debt and equity. The book takes an activist approach to investing, showing how the analyst challenges the current market price of a share by analyzing the fundamentals. With a careful assessment of accounting quality, accounting comes to life as it is integrated with the modern theory of finance to develop practical analysis and valuation tools for active investing.",McGraw-Hill/Irwin,2009,Business & Economics,en,https://books.google.com/books/content?id=7_krPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_A,high,metadata_keep_a,189,2
201,PUXxAAAAQBAJ,Professional Automated Trading,Theory and Practice,Eugene A. Durenard,9781118129852,9781118129852,"An insider's view of how to develop and operate an automated proprietary trading network Reflecting author Eugene Durenard's extensive experience in this field, Professional Automated Trading offers valuable insights you won't find anywhere else. It reveals how a series of concepts and techniques coming from current research in artificial life and modern control theory can be applied to the design of effective trading systems that outperform the majority of published trading systems. It also skillfully provides you with essential information on the practical coding and implementation of a scalable systematic trading architecture. Based on years of practical experience in building successful research and infrastructure processes for purpose of trading at several frequencies, this book is designed to be a comprehensive guide for understanding the theory of design and the practice of implementation of an automated systematic trading process at an institutional scale. Discusses several classical strategies and covers the design of efficient simulation engines for back and forward testing Provides insights on effectively implementing a series of distributed processes that should form the core of a robust and fault-tolerant automated systematic trading architecture Addresses trade execution optimization by studying market-pressure models and minimization of costs via applications of execution algorithms Introduces a series of novel concepts from artificial life and modern control theory that enhance robustness of the systematic decision making—focusing on various aspects of adaptation and dynamic optimal model choice Engaging and informative, Proprietary Automated Trading covers the most important aspects of this endeavor and will put you in a better position to excel at it.",John Wiley & Sons,2013,Business & Economics,en,https://books.google.com/books/content?id=PUXxAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,193,1
203,KUq7EQAAQBAJ,Treasury Bond Futures and Options,,"Owain Johnson, Eric Leininger, Jonathan Kronstein, Agha Mirza",9781040684054,9781040684054,"U.S. Treasury futures and options are the world’s largest fixed income markets. They enable investors and traders to trade, risk manage and invest in U.S. government notes or bonds for future delivery. The U.S. government bond market is the most liquid, secure and diverse among international government bond markets. The U.S. government uses the U.S. bond market to finance its maturing debt and expenditures, and with the expansion of U.S. borrowing, these markets have never been so large nor so closely watched around the world. Treasury Bond Futures and Options is the first standard reference handbook of its kind. It systematically reviews all of the varied elements of these crucial markets, providing practitioners and non-practitioners with a thorough description of the operations and potential of Treasury futures and options. The book presents readers with a full sense of how these gigantic markets function, including elements such as trading execution, risk management, delivery mechanism, market participants and regulatory treatment. It describes the key elements of market design, as well as walking through the trading and hedging opportunities that these markets provide. It is divided into three main sections. The first explains the background and current state of the cash and derivative Treasury markets. The second section focuses on risk management and trading using Treasury futures and options, while the third section looks at related products, key types of trader and governance. Treasury Bond Futures and Options is essential for every fixed income trader, regulator, financial investor, researcher and economist who looks at the U.S. Treasury market.",Taylor & Francis,2026,Business & Economics,en,https://books.google.com/books/content?id=KUq7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,195,1
204,F-7hM6Fc36AC,Breaking the Black Box,"Learn how to Design, Test, and Apply Mechanical Trading Systems Using Profitable Examples",Martin J. Pring,9780071384056,9780071384056,This software will enable the user to learn about breaking the black box.,McGraw Hill Professional,2003,Business & Economics,en,https://books.google.com/books/content?id=F-7hM6Fc36AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,medium,metadata_keep_b,196,1
205,tkj7zGTNlmEC,All About Technical Analysis,The Easy Way to Get Started,Constance M. Brown,9780071423489,9780071423489,"ALL ABOUT . . . SERIES All About TECHNICAL ANALYSIS Wary of trusting their trading fortunes to chance, investors are increasingly turning to the proven tools of technical analysis to help them make better trading and investing decisions. All About Technical Analysis explains what technical analysis is, why so many savvy investors rely on it to help forecast market movements, and how to successfully blend it into an overall investing program.",McGraw Hill Professional,2002,Business & Economics,en,https://books.google.com/books/content?id=tkj7zGTNlmEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,metadata_keep_b,197,1
208,e9Fx3qMbt48C,The Trading Systems Toolkit,"How to Build, Test, and Apply Money-making Stock and Futures Trading Systems",Joe Krutsinger,9781557385345,9781557385345,"Shows how to build, test, and apply stock and futures trading systems.",McGraw Hill Professional,1994,Business & Economics,en,https://books.google.com/books/content?id=e9Fx3qMbt48C&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,metadata_keep_b,200,1
209,yxHOYMzHTUYC,Mastering Futures Trading,An Advanced Course for Sophisticated Strategies that Work,Bo Yoder,9780071420341,9780071420341,"Explores the strategies concepts and methodologies you need to know to become a successful futures trader. This book will provide you with the tools you need to spot futures market trends, identify pending rallies or pullbacks and put your money on the line when you've uncovered a firm directional bias.",McGraw Hill Professional,2004,Business & Economics,en,https://books.google.com/books/content?id=yxHOYMzHTUYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,metadata_keep_b,201,1
